Ano,State,Month,Number,Date
2006,RS,May,24,1/1/2006
2007,RS,May,3,1/1/2007
2008,RS,May,20,1/1/2008
2009,RS,May,177,1/1/2009
2010,RS,May,9,1/1/2010
2011,RS,May,20,1/1/2011
2012,RS,May,112,1/1/2012
2013,RS,May,14,1/1/2013
2014,RS,May,63,1/1/2014
2015,RS,May,169,1/1/2015
2016,RS,May,37,1/1/2016
2017,RS,May,43,1/1/2017
1998,RS,Jun,0,1/1/1998
1999,RS,Jun,9,1/1/1999
2000,RS,Jun,0,1/1/2000
2001,RS,Jun,1,1/1/2001
2002,RS,Jun,4,1/1/2002
2003,RS,Jun,14,1/1/2003
2004,RS,Jun,52,1/1/2004
2005,RS,Jun,50,1/1/2005
2006,RS,Jun,7,1/1/2006
2007,RS,Jun,10,1/1/2007
2008,RS,Jun,16,1/1/2008
2009,RS,Jun,30,1/1/2009
2010,RS,Jun,4,1/1/2010
2011,RS,Jun,12,1/1/2011
2012,RS,Jun,86,1/1/2012
2013,RS,Jun,10,1/1/2013
2014,RS,Jun,62,1/1/2014
2015,RS,Jun,68,1/1/2015
2016,RS,Jun,261,1/1/2016
2017,RS,Jun,103,1/1/2017
1998,RS,Jul,0,1/1/1998
1999,RS,Jul,10,1/1/1999
2000,RS,Jul,6,1/1/2000
2001,RS,Jul,6,1/1/2001
2002,RS,Jul,93,1/1/2002
2003,RS,Jul,55,1/1/2003
2004,RS,Jul,156,1/1/2004
2005,RS,Jul,47,1/1/2005
2006,RS,Jul,45,1/1/2006
2007,RS,Jul,7,1/1/2007
2008,RS,Jul,25,1/1/2008
2009,RS,Jul,47,1/1/2009
2010,RS,Jul,34,1/1/2010
2011,RS,Jul,45,1/1/2011
2012,RS,Jul,134,1/1/2012
2013,RS,Jul,42,1/1/2013
2014,RS,Jul,209,1/1/2014
2015,RS,Jul,60,1/1/2015
2016,RS,Jul,865,1/1/2016
2017,RS,Jul,885,1/1/2017
1998,RS,Aug,9,1/1/1998
1999,RS,Aug,24,1/1/1999
2000,RS,Aug,18,1/1/2000
2001,RS,Aug,36,1/1/2001
2002,RS,Aug,824,1/1/2002
2003,RS,Aug,1.419,1/1/2003
2004,RS,Aug,403,1/1/2004
2005,RS,Aug,120,1/1/2005
2006,RS,Aug,642,1/1/2006
2007,RS,Aug,258,1/1/2007
2008,RS,Aug,56,1/1/2008
2009,RS,Aug,1.057,1/1/2009
2010,RS,Aug,267,1/1/2010
2011,RS,Aug,116,1/1/2011
2012,RS,Aug,410,1/1/2012
2013,RS,Aug,156,1/1/2013
2014,RS,Aug,1.168,1/1/2014
2015,RS,Aug,414,1/1/2015
2016,RS,Aug,1.111,1/1/2016
2017,RS,Aug,819,1/1/2017
1998,RS,Sep,60,1/1/1998
1999,RS,Sep,19,1/1/1999
2000,RS,Sep,27,1/1/2000
2001,RS,Sep,2,1/1/2001
2002,RS,Sep,226,1/1/2002
2003,RS,Sep,828,1/1/2003
2004,RS,Sep,431,1/1/2004
2005,RS,Sep,189,1/1/2005
2006,RS,Sep,444,1/1/2006
2007,RS,Sep,573,1/1/2007
2008,RS,Sep,97,1/1/2008
2009,RS,Sep,39,1/1/2009
2010,RS,Sep,250,1/1/2010
2011,RS,Sep,449,1/1/2011
2012,RS,Sep,113,1/1/2012
2013,RS,Sep,290,1/1/2013
2014,RS,Sep,224,1/1/2014
2015,RS,Sep,222,1/1/2015
2016,RS,Sep,628,1/1/2016
2017,RS,Sep,343,1/1/2017
1998,RS,Oct,169,1/1/1998
1999,RS,Oct,56,1/1/1999
2000,RS,Oct,10,1/1/2000
2001,RS,Oct,13,1/1/2001
2002,RS,Oct,10,1/1/2002
2003,RS,Oct,360,1/1/2003
2004,RS,Oct,680,1/1/2004
2005,RS,Oct,83,1/1/2005
2006,RS,Oct,160,1/1/2006
2007,RS,Oct,21,1/1/2007
2008,RS,Oct,135,1/1/2008
2009,RS,Oct,148,1/1/2009
2010,RS,Oct,95,1/1/2010
2011,RS,Oct,74,1/1/2011
2012,RS,Oct,91,1/1/2012
2013,RS,Oct,104,1/1/2013
2014,RS,Oct,110,1/1/2014
2015,RS,Oct,70,1/1/2015
2016,RS,Oct,93,1/1/2016
2017,RS,Oct,101,1/1/2017
1998,RS,Nov,28,1/1/1998
1999,RS,Nov,103,1/1/1999
2000,RS,Nov,18,1/1/2000
2001,RS,Nov,49,1/1/2001
2002,RS,Nov,117,1/1/2002
2003,RS,Nov,121,1/1/2003
2004,RS,Nov,161,1/1/2004
2005,RS,Nov,227,1/1/2005
2006,RS,Nov,27,1/1/2006
2007,RS,Nov,13,1/1/2007
2008,RS,Nov,14,1/1/2008
2009,RS,Nov,4,1/1/2009
2010,RS,Nov,90,1/1/2010
2011,RS,Nov,117,1/1/2011
2012,RS,Nov,74,1/1/2012
2013,RS,Nov,110,1/1/2013
2014,RS,Nov,68,1/1/2014
2015,RS,Nov,30,1/1/2015
2016,RS,Nov,105,1/1/2016
2017,RS,Nov,137,1/1/2017
1998,RS,Dec,605,1/1/1998
1999,RS,Dec,1.11,1/1/1999
2000,RS,Dec,80,1/1/2000
2001,RS,Dec,80,1/1/2001
2002,RS,Dec,45,1/1/2002
2003,RS,Dec,98,1/1/2003
2004,RS,Dec,99,1/1/2004
2005,RS,Dec,35,1/1/2005
2006,RS,Dec,15,1/1/2006
2007,RS,Dec,25,1/1/2007
2008,RS,Dec,32,1/1/2008
2009,RS,Dec,15,1/1/2009
2010,RS,Dec,103,1/1/2010
2011,RS,Dec,69,1/1/2011
2012,RS,Dec,38,1/1/2012
2013,RS,Dec,62,1/1/2013
2014,RS,Dec,31,1/1/2014
2015,RS,Dec,42,1/1/2015
2016,RS,Dec,79,1/1/2016
1998,RO,Jan,0,1/1/1998
1999,RO,Jan,1,1/1/1999
2000,RO,Jan,0,1/1/2000
2001,RO,Jan,0,1/1/2001
2002,RO,Jan,6,1/1/2002
2003,RO,Jan,62,1/1/2003
2004,RO,Jan,30,1/1/2004
2005,RO,Jan,99,1/1/2005
2006,RO,Jan,16,1/1/2006
2007,RO,Jan,33,1/1/2007
2008,RO,Jan,4,1/1/2008
2009,RO,Jan,17,1/1/2009
2010,RO,Jan,18,1/1/2010
2011,RO,Jan,1,1/1/2011
2012,RO,Jan,2,1/1/2012
2013,RO,Jan,7,1/1/2013
2014,RO,Jan,12,1/1/2014
2015,RO,Jan,30,1/1/2015
2016,RO,Jan,93,1/1/2016
2017,RO,Jan,44,1/1/2017
1998,RO,Fev,0,1/1/1998
1999,RO,Fev,1,1/1/1999
2000,RO,Fev,6,1/1/2000
2001,RO,Fev,2,1/1/2001
2002,RO,Fev,8,1/1/2002
2003,RO,Fev,10,1/1/2003
2004,RO,Fev,12,1/1/2004
2005,RO,Fev,42,1/1/2005
2006,RO,Fev,17,1/1/2006
2007,RO,Fev,8,1/1/2007
2008,RO,Fev,7,1/1/2008
2009,RO,Fev,1,1/1/2009
2010,RO,Fev,9,1/1/2010
2011,RO,Fev,2,1/1/2011
2012,RO,Fev,9,1/1/2012
2013,RO,Fev,8,1/1/2013
2014,RO,Fev,5,1/1/2014
2015,RO,Fev,22,1/1/2015
2016,RO,Fev,88,1/1/2016
2017,RO,Fev,10,1/1/2017
1998,RO,Mar,0,1/1/1998
1999,RO,Mar,8,1/1/1999
2000,RO,Mar,9,1/1/2000
2001,RO,Mar,0,1/1/2001
2002,RO,Mar,1,1/1/2002
2003,RO,Mar,13,1/1/2003
2004,RO,Mar,20,1/1/2004
2005,RO,Mar,17,1/1/2005
2006,RO,Mar,15,1/1/2006
2007,RO,Mar,20,1/1/2007
2008,RO,Mar,2,1/1/2008
2009,RO,Mar,12,1/1/2009
2010,RO,Mar,11,1/1/2010
2011,RO,Mar,6,1/1/2011
2012,RO,Mar,6,1/1/2012
2013,RO,Mar,23,1/1/2013
2014,RO,Mar,13,1/1/2014
2015,RO,Mar,15,1/1/2015
2016,RO,Mar,25,1/1/2016
2017,RO,Mar,21,1/1/2017
1998,RO,Apr,0,1/1/1998
1999,RO,Apr,3,1/1/1999
2000,RO,Apr,0,1/1/2000
2001,RO,Apr,0,1/1/2001
2002,RO,Apr,3,1/1/2002
2003,RO,Apr,10,1/1/2003
2004,RO,Apr,14,1/1/2004
2005,RO,Apr,7,1/1/2005
2006,RO,Apr,0,1/1/2006
2007,RO,Apr,0,1/1/2007
2008,RO,Apr,8,1/1/2008
2009,RO,Apr,3,1/1/2009
2010,RO,Apr,19,1/1/2010
2011,RO,Apr,8,1/1/2011
2012,RO,Apr,12,1/1/2012
2013,RO,Apr,9,1/1/2013
2014,RO,Apr,15,1/1/2014
2015,RO,Apr,15,1/1/2015
2016,RO,Apr,59,1/1/2016
2017,RO,Apr,19,1/1/2017
1998,RO,May,0,1/1/1998
1999,RO,May,3,1/1/1999
2000,RO,May,13,1/1/2000
2001,RO,May,5,1/1/2001
2002,RO,May,10,1/1/2002
2003,RO,May,21,1/1/2003
2004,RO,May,9,1/1/2004
2005,RO,May,38,1/1/2005
2006,RO,May,7,1/1/2006
2007,RO,May,4,1/1/2007
2008,RO,May,1,1/1/2008
2009,RO,May,6,1/1/2009
2010,RO,May,41,1/1/2010
2011,RO,May,54,1/1/2011
2012,RO,May,22,1/1/2012
2013,RO,May,9,1/1/2013
2014,RO,May,28,1/1/2014
2015,RO,May,13,1/1/2015
2016,RO,May,44,1/1/2016
2017,RO,May,31,1/1/2017
1998,RO,Jun,26,1/1/1998
1999,RO,Jun,10,1/1/1999
2000,RO,Jun,54,1/1/2000
2001,RO,Jun,31,1/1/2001
2002,RO,Jun,141,1/1/2002
2003,RO,Jun,74,1/1/2003
2004,RO,Jun,151,1/1/2004
2005,RO,Jun,153,1/1/2005
2006,RO,Jun,40,1/1/2006
2007,RO,Jun,71,1/1/2007
2008,RO,Jun,11,1/1/2008
2009,RO,Jun,13,1/1/2009
2010,RO,Jun,44,1/1/2010
2011,RO,Jun,130,1/1/2011
2012,RO,Jun,32,1/1/2012
2013,RO,Jun,22,1/1/2013
2014,RO,Jun,92,1/1/2014
2015,RO,Jun,119,1/1/2015
2016,RO,Jun,170,1/1/2016
2017,RO,Jun,192,1/1/2017
1998,RO,Jul,365,1/1/1998
1999,RO,Jul,135,1/1/1999
2000,RO,Jul,117,1/1/2000
2001,RO,Jul,74,1/1/2001
2002,RO,Jul,539,1/1/2002
2003,RO,Jul,516,1/1/2003
2004,RO,Jul,1.233,1/1/2004
2005,RO,Jul,798,1/1/2005
2006,RO,Jul,314,1/1/2006
2007,RO,Jul,187,1/1/2007
2008,RO,Jul,138,1/1/2008
2009,RO,Jul,110,1/1/2009
2010,RO,Jul,747,1/1/2010
2011,RO,Jul,293,1/1/2011
2012,RO,Jul,205,1/1/2012
2013,RO,Jul,117,1/1/2013
2014,RO,Jul,192,1/1/2014
2015,RO,Jul,423,1/1/2015
2016,RO,Jul,969,1/1/2016
2017,RO,Jul,1.28,1/1/2017
1998,RO,Aug,2.254,1/1/1998
1999,RO,Aug,1.976,1/1/1999
2000,RO,Aug,2.197,1/1/2000
2001,RO,Aug,2.132,1/1/2001
2002,RO,Aug,3.465,1/1/2002
2003,RO,Aug,7.06,1/1/2003
2004,RO,Aug,6.893,1/1/2004
2005,RO,Aug,6.672,1/1/2005
2006,RO,Aug,3.124,1/1/2006
2007,RO,Aug,4.786,1/1/2007
2008,RO,Aug,1.251,1/1/2008
2009,RO,Aug,484,1/1/2009
2010,RO,Aug,4.388,1/1/2010
2011,RO,Aug,1.161,1/1/2011
2012,RO,Aug,2.209,1/1/2012
2013,RO,Aug,885,1/1/2013
2014,RO,Aug,3.038,1/1/2014
2015,RO,Aug,3.762,1/1/2015
2016,RO,Aug,3.675,1/1/2016
2017,RO,Aug,4.287,1/1/2017
1998,RO,Sep,3.753,1/1/1998
1999,RO,Sep,3.062,1/1/1999
2000,RO,Sep,2.438,1/1/2000
2001,RO,Sep,1.927,1/1/2001
2002,RO,Sep,7.067,1/1/2002
2003,RO,Sep,6.89,1/1/2003
2004,RO,Sep,13.05,1/1/2004
2005,RO,Sep,13.972,1/1/2005
2006,RO,Sep,9.92,1/1/2006
2007,RO,Sep,6.832,1/1/2007
2008,RO,Sep,3.726,1/1/2008
2009,RO,Sep,1.869,1/1/2009
2010,RO,Sep,4.893,1/1/2010
2011,RO,Sep,1.782,1/1/2011
2012,RO,Sep,2.471,1/1/2012
2013,RO,Sep,1.776,1/1/2013
2014,RO,Sep,2.8,1/1/2014
2015,RO,Sep,6.129,1/1/2015
2016,RO,Sep,4.208,1/1/2016
2017,RO,Sep,5.638,1/1/2017
1998,RO,Oct,483,1/1/1998
1999,RO,Oct,1.884,1/1/1999
2000,RO,Oct,644,1/1/2000
2001,RO,Oct,796,1/1/2001
2002,RO,Oct,3.554,1/1/2002
2003,RO,Oct,4.962,1/1/2003
2004,RO,Oct,3.094,1/1/2004
2005,RO,Oct,2.559,1/1/2005
2006,RO,Oct,1.148,1/1/2006
2007,RO,Oct,2.023,1/1/2007
2008,RO,Oct,1.482,1/1/2008
2009,RO,Oct,1.444,1/1/2009
2010,RO,Oct,1.307,1/1/2010
2011,RO,Oct,822,1/1/2011
2012,RO,Oct,1.229,1/1/2012
2013,RO,Oct,555,1/1/2013
2014,RO,Oct,1.063,1/1/2014
2015,RO,Oct,2.598,1/1/2015
2016,RO,Oct,1.844,1/1/2016
2017,RO,Oct,2.19,1/1/2017
1998,RO,Nov,3,1/1/1998
1999,RO,Nov,41,1/1/1999
2000,RO,Nov,13,1/1/2000
2001,RO,Nov,91,1/1/2001
2002,RO,Nov,639,1/1/2002
2003,RO,Nov,526,1/1/2003
2004,RO,Nov,452,1/1/2004
2005,RO,Nov,465,1/1/2005
2006,RO,Nov,253,1/1/2006
2007,RO,Nov,53,1/1/2007
2008,RO,Nov,78,1/1/2008
2009,RO,Nov,128,1/1/2009
2010,RO,Nov,238,1/1/2010
2011,RO,Nov,245,1/1/2011
2012,RO,Nov,174,1/1/2012
2013,RO,Nov,108,1/1/2013
2014,RO,Nov,202,1/1/2014
2015,RO,Nov,1.002,1/1/2015
2016,RO,Nov,401,1/1/2016
2017,RO,Nov,372,1/1/2017
1998,RO,Dec,33,1/1/1998
1999,RO,Dec,0,1/1/1999
2000,RO,Dec,7,1/1/2000
2001,RO,Dec,1,1/1/2001
2002,RO,Dec,91,1/1/2002
2003,RO,Dec,214,1/1/2003
2004,RO,Dec,208,1/1/2004
2005,RO,Dec,36,1/1/2005
2006,RO,Dec,4,1/1/2006
2007,RO,Dec,6,1/1/2007
2008,RO,Dec,2,1/1/2008
2009,RO,Dec,9,1/1/2009
2010,RO,Dec,158,1/1/2010
2011,RO,Dec,37,1/1/2011
2012,RO,Dec,50,1/1/2012
2013,RO,Dec,143,1/1/2013
2014,RO,Dec,144,1/1/2014
2015,RO,Dec,282,1/1/2015
2016,RO,Dec,148,1/1/2016
1998,RR,Jan,0,1/1/1998
1999,RR,Jan,15,1/1/1999
2000,RR,Jan,18,1/1/2000
2001,RR,Jan,101,1/1/2001
2002,RR,Jan,302,1/1/2002
2003,RR,Jan,547,1/1/2003
2004,RR,Jan,355,1/1/2004
2005,RR,Jan,106,1/1/2005
2006,RR,Jan,70,1/1/2006
2007,RR,Jan,194,1/1/2007
2008,RR,Jan,245,1/1/2008
2009,RR,Jan,45,1/1/2009
2010,RR,Jan,351,1/1/2010
2011,RR,Jan,225,1/1/2011
2012,RR,Jan,217,1/1/2012
2013,RR,Jan,397,1/1/2013
2014,RR,Jan,355,1/1/2014
2015,RR,Jan,330,1/1/2015
2016,RR,Jan,1.754,1/1/2016
2017,RR,Jan,108,1/1/2017
1998,RR,Fev,0,1/1/1998
1999,RR,Fev,20,1/1/1999
2000,RR,Fev,57,1/1/2000
2001,RR,Fev,646,1/1/2001
2002,RR,Fev,476,1/1/2002
2003,RR,Fev,767,1/1/2003
2004,RR,Fev,259,1/1/2004
2005,RR,Fev,105,1/1/2005
2006,RR,Fev,283,1/1/2006
2007,RR,Fev,796,1/1/2007
2008,RR,Fev,138,1/1/2008
2009,RR,Fev,153,1/1/2009
2010,RR,Fev,470,1/1/2010
2011,RR,Fev,112,1/1/2011
2012,RR,Fev,130,1/1/2012
2013,RR,Fev,62,1/1/2013
2014,RR,Fev,226,1/1/2014
2015,RR,Fev,418,1/1/2015
2016,RR,Fev,171,1/1/2016
2017,RR,Fev,129,1/1/2017
1998,RR,Mar,0,1/1/1998
1999,RR,Mar,98,1/1/1999
2000,RR,Mar,125,1/1/2000
2001,RR,Mar,1.108,1/1/2001
2002,RR,Mar,820,1/1/2002
2003,RR,Mar,1.131,1/1/2003
2004,RR,Mar,276,1/1/2004
2005,RR,Mar,244,1/1/2005
2006,RR,Mar,385,1/1/2006
2007,RR,Mar,665,1/1/2007
2008,RR,Mar,422,1/1/2008
2009,RR,Mar,176,1/1/2009
2010,RR,Mar,417,1/1/2010
2011,RR,Mar,91,1/1/2011
2012,RR,Mar,99,1/1/2012
2013,RR,Mar,179,1/1/2013
2014,RR,Mar,494,1/1/2014
2015,RR,Mar,163,1/1/2015
2016,RR,Mar,1.081,1/1/2016
2017,RR,Mar,216,1/1/2017
1998,RR,Apr,0,1/1/1998
1999,RR,Apr,16,1/1/1999
2000,RR,Apr,0,1/1/2000
2001,RR,Apr,380,1/1/2001
2002,RR,Apr,41,1/1/2002
2003,RR,Apr,268,1/1/2003
2004,RR,Apr,182,1/1/2004
2005,RR,Apr,22,1/1/2005
2006,RR,Apr,201,1/1/2006
2007,RR,Apr,58,1/1/2007
2008,RR,Apr,175,1/1/2008
2009,RR,Apr,115,1/1/2009
2010,RR,Apr,15,1/1/2010
2011,RR,Apr,108,1/1/2011
2012,RR,Apr,25,1/1/2012
2013,RR,Apr,87,1/1/2013
2014,RR,Apr,162,1/1/2014
2015,RR,Apr,278,1/1/2015
2016,RR,Apr,126,1/1/2016
2017,RR,Apr,51,1/1/2017
1998,RR,May,0,1/1/1998
1999,RR,May,0,1/1/1999
2000,RR,May,7,1/1/2000
2001,RR,May,9,1/1/2001
2002,RR,May,0,1/1/2002
2003,RR,May,0,1/1/2003
2004,RR,May,2,1/1/2004
2005,RR,May,1,1/1/2005
2006,RR,May,0,1/1/2006
2007,RR,May,0,1/1/2007
2008,RR,May,8,1/1/2008
2009,RR,May,219,1/1/2009
2010,RR,May,3,1/1/2010
2011,RR,May,4,1/1/2011
2012,RR,May,18,1/1/2012
2013,RR,May,4,1/1/2013
2014,RR,May,58,1/1/2014
2015,RR,May,12,1/1/2015
2016,RR,May,22,1/1/2016
2017,RR,May,29,1/1/2017
1998,RR,Jun,0,1/1/1998
1999,RR,Jun,3,1/1/1999
2000,RR,Jun,0,1/1/2000
2001,RR,Jun,1,1/1/2001
2002,RR,Jun,0,1/1/2002
2003,RR,Jun,0,1/1/2003
2004,RR,Jun,6,1/1/2004
2005,RR,Jun,5,1/1/2005
2006,RR,Jun,0,1/1/2006
2007,RR,Jun,1,1/1/2007
2008,RR,Jun,0,1/1/2008
2009,RR,Jun,16,1/1/2009
2010,RR,Jun,0,1/1/2010
2011,RR,Jun,6,1/1/2011
2012,RR,Jun,22,1/1/2012
2013,RR,Jun,6,1/1/2013
2014,RR,Jun,4,1/1/2014
2015,RR,Jun,3,1/1/2015
2016,RR,Jun,7,1/1/2016
2017,RR,Jun,4,1/1/2017
1998,RR,Jul,1,1/1/1998
1999,RR,Jul,4,1/1/1999
2000,RR,Jul,0,1/1/2000
2001,RR,Jul,1,1/1/2001
2002,RR,Jul,7,1/1/2002
2003,RR,Jul,0,1/1/2003
2004,RR,Jul,2,1/1/2004
2005,RR,Jul,2,1/1/2005
2006,RR,Jul,0,1/1/2006
2007,RR,Jul,3,1/1/2007
2008,RR,Jul,0,1/1/2008
2009,RR,Jul,18,1/1/2009
2010,RR,Jul,1,1/1/2010
2011,RR,Jul,9,1/1/2011
2012,RR,Jul,2,1/1/2012
2013,RR,Jul,4,1/1/2013
2014,RR,Jul,9,1/1/2014
2015,RR,Jul,5,1/1/2015
2016,RR,Jul,0,1/1/2016
2017,RR,Jul,3,1/1/2017
1998,RR,Aug,0,1/1/1998
1999,RR,Aug,1,1/1/1999
2000,RR,Aug,9,1/1/2000
2001,RR,Aug,4,1/1/2001
2002,RR,Aug,7,1/1/2002
2003,RR,Aug,2,1/1/2003
2004,RR,Aug,18,1/1/2004
2005,RR,Aug,9,1/1/2005
2006,RR,Aug,4,1/1/2006
2007,RR,Aug,2,1/1/2007
2008,RR,Aug,4,1/1/2008
2009,RR,Aug,29,1/1/2009
2010,RR,Aug,3,1/1/2010
2011,RR,Aug,39,1/1/2011
2012,RR,Aug,4,1/1/2012
2013,RR,Aug,3,1/1/2013
2014,RR,Aug,12,1/1/2014
2015,RR,Aug,11,1/1/2015
2016,RR,Aug,11,1/1/2016
2017,RR,Aug,35,1/1/2017
1998,RR,Sep,2,1/1/1998
1999,RR,Sep,3,1/1/1999
2000,RR,Sep,12,1/1/2000
2001,RR,Sep,1,1/1/2001
2002,RR,Sep,48,1/1/2002
2003,RR,Sep,6,1/1/2003
2004,RR,Sep,9,1/1/2004
2005,RR,Sep,72,1/1/2005
2006,RR,Sep,40,1/1/2006
2007,RR,Sep,9,1/1/2007
2008,RR,Sep,17,1/1/2008
2009,RR,Sep,117,1/1/2009
2010,RR,Sep,18,1/1/2010
2011,RR,Sep,53,1/1/2011
2012,RR,Sep,67,1/1/2012
2013,RR,Sep,18,1/1/2013
2014,RR,Sep,67,1/1/2014
2015,RR,Sep,77,1/1/2015
2016,RR,Sep,19,1/1/2016
2017,RR,Sep,43,1/1/2017
1998,RR,Oct,1,1/1/1998
1999,RR,Oct,10,1/1/1999
2000,RR,Oct,25,1/1/2000
2001,RR,Oct,13,1/1/2001
2002,RR,Oct,191,1/1/2002
2003,RR,Oct,14,1/1/2003
2004,RR,Oct,53,1/1/2004
2005,RR,Oct,88,1/1/2005
2006,RR,Oct,135,1/1/2006
2007,RR,Oct,15,1/1/2007
2008,RR,Oct,78,1/1/2008
2009,RR,Oct,197,1/1/2009
2010,RR,Oct,64,1/1/2010
2011,RR,Oct,65,1/1/2011
2012,RR,Oct,152,1/1/2012
2013,RR,Oct,63,1/1/2013
2014,RR,Oct,61,1/1/2014
2015,RR,Oct,181,1/1/2015
2016,RR,Oct,101,1/1/2016
2017,RR,Oct,156,1/1/2017
1998,RR,Nov,1,1/1/1998
1999,RR,Nov,15,1/1/1999
2000,RR,Nov,32,1/1/2000
2001,RR,Nov,76,1/1/2001
2002,RR,Nov,133,1/1/2002
2003,RR,Nov,27,1/1/2003
2004,RR,Nov,135,1/1/2004
2005,RR,Nov,135,1/1/2005
2006,RR,Nov,26,1/1/2006
2007,RR,Nov,112,1/1/2007
2008,RR,Nov,39,1/1/2008
2009,RR,Nov,312,1/1/2009
2010,RR,Nov,27,1/1/2010
2011,RR,Nov,121,1/1/2011
2012,RR,Nov,187,1/1/2012
2013,RR,Nov,106,1/1/2013
2014,RR,Nov,143,1/1/2014
2015,RR,Nov,280,1/1/2015
2016,RR,Nov,71,1/1/2016
2017,RR,Nov,327,1/1/2017
1998,RR,Dec,16,1/1/1998
1999,RR,Dec,35,1/1/1999
2000,RR,Dec,77,1/1/2000
2001,RR,Dec,76,1/1/2001
2002,RR,Dec,199,1/1/2002
2003,RR,Dec,157,1/1/2003
2004,RR,Dec,160,1/1/2004
2005,RR,Dec,71,1/1/2005
2006,RR,Dec,101,1/1/2006
2007,RR,Dec,8,1/1/2007
2008,RR,Dec,5,1/1/2008
2009,RR,Dec,290,1/1/2009
2010,RR,Dec,73,1/1/2010
2011,RR,Dec,249,1/1/2011
2012,RR,Dec,78,1/1/2012
2013,RR,Dec,65,1/1/2013
2014,RR,Dec,277,1/1/2014
2015,RR,Dec,304,1/1/2015
2016,RR,Dec,136,1/1/2016
1998,SC,Jan,0,1/1/1998
1999,SC,Jan,11,1/1/1999
2000,SC,Jan,14,1/1/2000
2001,SC,Jan,11,1/1/2001
2002,SC,Jan,22,1/1/2002
2003,SC,Jan,45,1/1/2003
2004,SC,Jan,37,1/1/2004
2005,SC,Jan,46,1/1/2005
2006,SC,Jan,41,1/1/2006
2007,SC,Jan,9,1/1/2007
2008,SC,Jan,25,1/1/2008
2009,SC,Jan,21,1/1/2009
2010,SC,Jan,2,1/1/2010
2011,SC,Jan,9,1/1/2011
2012,SC,Jan,14,1/1/2012
2013,SC,Jan,18,1/1/2013
2014,SC,Jan,58,1/1/2014
2015,SC,Jan,28,1/1/2015
2016,SC,Jan,53,1/1/2016
2017,SC,Jan,46,1/1/2017
1998,SC,Fev,0,1/1/1998
1999,SC,Fev,2,1/1/1999
2000,SC,Fev,8,1/1/2000
2001,SC,Fev,0,1/1/2001
2002,SC,Fev,5,1/1/2002
2003,SC,Fev,43,1/1/2003
2004,SC,Fev,29,1/1/2004
2005,SC,Fev,46,1/1/2005
2006,SC,Fev,18,1/1/2006
2007,SC,Fev,14,1/1/2007
2008,SC,Fev,29,1/1/2008
2009,SC,Fev,7,1/1/2009
2010,SC,Fev,15,1/1/2010
2011,SC,Fev,1,1/1/2011
2012,SC,Fev,13,1/1/2012
2013,SC,Fev,12,1/1/2013
2014,SC,Fev,27,1/1/2014
2015,SC,Fev,23,1/1/2015
2016,SC,Fev,10,1/1/2016
2017,SC,Fev,31,1/1/2017
1998,SC,Mar,0,1/1/1998
1999,SC,Mar,7,1/1/1999
2000,SC,Mar,46,1/1/2000
2001,SC,Mar,1,1/1/2001
2002,SC,Mar,12,1/1/2002
2003,SC,Mar,58,1/1/2003
2004,SC,Mar,73,1/1/2004
2005,SC,Mar,92,1/1/2005
2006,SC,Mar,48,1/1/2006
2007,SC,Mar,23,1/1/2007
2008,SC,Mar,14,1/1/2008
2009,SC,Mar,33,1/1/2009
2010,SC,Mar,9,1/1/2010
2011,SC,Mar,8,1/1/2011
2012,SC,Mar,65,1/1/2012
2013,SC,Mar,14,1/1/2013
2014,SC,Mar,15,1/1/2014
2015,SC,Mar,37,1/1/2015
2016,SC,Mar,21,1/1/2016
2017,SC,Mar,12,1/1/2017
1998,SC,Apr,0,1/1/1998
1999,SC,Apr,0,1/1/1999
2000,SC,Apr,7,1/1/2000
2001,SC,Apr,1,1/1/2001
2002,SC,Apr,7,1/1/2002
2003,SC,Apr,120,1/1/2003
2004,SC,Apr,59,1/1/2004
2005,SC,Apr,25,1/1/2005
2006,SC,Apr,30,1/1/2006
2007,SC,Apr,2,1/1/2007
2008,SC,Apr,31,1/1/2008
2009,SC,Apr,57,1/1/2009
2010,SC,Apr,19,1/1/2010
2011,SC,Apr,5,1/1/2011
2012,SC,Apr,40,1/1/2012
2013,SC,Apr,46,1/1/2013
2014,SC,Apr,34,1/1/2014
2015,SC,Apr,32,1/1/2015
2016,SC,Apr,36,1/1/2016
2017,SC,Apr,26,1/1/2017
1998,SC,May,0,1/1/1998
1999,SC,May,1,1/1/1999
2000,SC,May,0,1/1/2000
2001,SC,May,2,1/1/2001
2002,SC,May,3,1/1/2002
2003,SC,May,84,1/1/2003
2004,SC,May,2,1/1/2004
2005,SC,May,21,1/1/2005
2006,SC,May,33,1/1/2006
2007,SC,May,2,1/1/2007
2008,SC,May,15,1/1/2008
2009,SC,May,33,1/1/2009
2010,SC,May,1,1/1/2010
2011,SC,May,16,1/1/2011
2012,SC,May,60,1/1/2012
2013,SC,May,52,1/1/2013
2014,SC,May,42,1/1/2014
2015,SC,May,70,1/1/2015
2016,SC,May,26,1/1/2016
2017,SC,May,36,1/1/2017
1998,SC,Jun,2,1/1/1998
1999,SC,Jun,0,1/1/1999
2000,SC,Jun,2,1/1/2000
2001,SC,Jun,1,1/1/2001
2002,SC,Jun,0,1/1/2002
2003,SC,Jun,68,1/1/2003
2004,SC,Jun,127,1/1/2004
