,Ano,State,Number
261,2007,RJ,621
262,2007,RN,463
263,2007,RO,14023
264,2007,RR,1863
265,2007,RS,983
266,2007,SC,1230
267,2007,SE,124
268,2007,SP,1877
269,2007,TO,15974
270,2008,AC,2808
271,2008,AL,277
272,2008,AM,2717
273,2008,AP,785
274,2008,BA,17600
275,2008,CE,4617
276,2008,DF,115
277,2008,ES,251
278,2008,GO,3543
279,2008,MA,11363
280,2008,MG,8471
281,2008,MS,1792
282,2008,MT,20033
283,2008,PA,21684
284,2008,PB,569
285,2008,PE,1189
286,2008,PI,3103
287,2008,PR,1120
288,2008,RJ,224
289,2008,RN,378
290,2008,RO,6710
291,2008,RR,1131
292,2008,RS,615
293,2008,SC,547
294,2008,SE,243
295,2008,SP,1193
296,2008,TO,4915
297,2009,AC,2095
298,2009,AL,325
299,2009,AM,7915
300,2009,AP,2127
301,2009,BA,5092
302,2009,CE,4567
303,2009,DF,92
304,2009,ES,216
305,2009,GO,2682
306,2009,MA,9381
307,2009,MG,3241
308,2009,MS,5801
309,2009,MT,11069
310,2009,PA,29806
311,2009,PB,977
312,2009,PE,1569
313,2009,PI,5811
314,2009,PR,1986
315,2009,RJ,367
316,2009,RN,628
317,2009,RO,4096
318,2009,RR,1687
319,2009,RS,1783
320,2009,SC,1330
321,2009,SE,206
322,2009,SP,1165
323,2009,TO,5749
324,2010,AC,4684
325,2010,AL,222
326,2010,AM,8826
327,2010,AP,721
328,2010,BA,15512
329,2010,CE,3738
330,2010,DF,505
331,2010,ES,225
332,2010,GO,11104
333,2010,MA,28896
334,2010,MG,12166
335,2010,MS,5715
336,2010,MT,46936
337,2010,PA,15020
338,2010,PB,811
339,2010,PE,1660
340,2010,PI,17455
341,2010,PR,1900
342,2010,RJ,911
343,2010,RN,536
344,2010,RO,11873
345,2010,RR,1442
346,2010,RS,990
347,2010,SC,974
348,2010,SE,143
349,2010,SP,5194
350,2010,TO,25069
351,2011,AC,1912
352,2011,AL,232
353,2011,AM,4188
354,2011,AP,1100
355,2011,BA,13061
356,2011,CE,3773
357,2011,DF,273
358,2011,ES,326
359,2011,GO,5677
360,2011,MA,14955
361,2011,MG,11683
362,2011,MS,3607
363,2011,MT,14164
364,2011,PA,17687
365,2011,PB,837
366,2011,PE,1589
367,2011,PI,10515
368,2011,PR,2443
369,2011,RJ,1133
370,2011,RN,401
371,2011,RO,4541
372,2011,RR,1082
373,2011,RS,1033
374,2011,SC,926
375,2011,SE,173
376,2011,SP,3573
377,2011,TO,10387
378,2012,AC,3180
379,2012,AL,352
380,2012,AM,7745
381,2012,AP,2103
382,2012,BA,17378
383,2012,CE,4040
384,2012,DF,173
385,2012,ES,352
386,2012,GO,6154
387,2012,MA,24790
388,2012,MG,6488
389,2012,MS,7546
390,2012,MT,26017
391,2012,PA,20732
392,2012,PB,525
393,2012,PE,1089
394,2012,PI,14604
395,2012,PR,1760
396,2012,RJ,575
397,2012,RN,395
398,2012,RO,6421
399,2012,RR,1001
400,2012,RS,1249
401,2012,SC,1000
402,2012,SE,231
403,2012,SP,2159
404,2012,TO,5294
405,2013,AC,3242
406,2013,AL,208
407,2013,AM,5118
408,2013,AP,975
409,2013,BA,7217
410,2013,CE,2898
411,2013,DF,101
412,2013,ES,250
413,2013,GO,2979
414,2013,MA,12697
415,2013,MG,5308
416,2013,MS,3565
417,2013,MT,16301
418,2013,PA,17518
419,2013,PB,322
420,2013,PE,729
421,2013,PI,6555
422,2013,PR,1903
423,2013,RJ,405
424,2013,RN,268
425,2013,RO,3662
426,2013,RR,994
427,2013,RS,944
428,2013,SC,1046
429,2013,SE,185
430,2013,SP,2055
431,2013,TO,8127
432,2014,AC,2740
433,2014,AL,190
434,2014,AM,9288
435,2014,AP,1490
436,2014,BA,7819
437,2014,CE,2512
438,2014,DF,251
439,2014,ES,347
440,2014,GO,6454
441,2014,MA,23059
442,2014,MG,12381
443,2014,MS,2439
444,2014,MT,28024
445,2014,PA,35948
446,2014,PB,442
447,2014,PE,660
448,2014,PI,9584
449,2014,PR,2300
450,2014,RJ,1428
451,2014,RN,353
452,2014,RO,4832
453,2014,RR,1868
454,2014,RS,2143
455,2014,SC,1138
456,2014,SE,104
457,2014,SP,4717
458,2014,TO,7748
459,2015,AC,5512
460,2015,AL,590
461,2015,AM,15170
462,2015,AP,1366
463,2015,BA,18397
464,2015,CE,3420
465,2015,DF,172
466,2015,ES,1031
467,2015,GO,6861
468,2015,MA,26222
469,2015,MG,10625
470,2015,MS,5309
471,2015,MT,25429
472,2015,PA,39253
473,2015,PB,586
474,2015,PE,1082
475,2015,PI,14730
476,2015,PR,2187
477,2015,RJ,664
478,2015,RN,439
479,2015,RO,14410
480,2015,RR,2062
481,2015,RS,1450
482,2015,SC,923
483,2015,SE,299
484,2015,SP,1984
485,2015,TO,9123
486,2016,AC,6993
487,2016,AL,400
488,2016,AM,12023
489,2016,AP,2653
490,2016,BA,6751
491,2016,CE,3245
492,2016,DF,242
493,2016,ES,654
494,2016,GO,5275
495,2016,MA,21766
496,2016,MG,6707
497,2016,MS,5779
498,2016,MT,18952
499,2016,PA,26143
500,2016,PB,676
501,2016,PE,966
502,2016,PI,8385
503,2016,PR,3173
504,2016,RJ,774
505,2016,RN,401
506,2016,RO,11724
507,2016,RR,3499
508,2016,RS,3364
509,2016,SC,2346
510,2016,SE,152
511,2016,SP,3235
512,2016,TO,14854
513,2017,AC,7042
514,2017,AL,159
515,2017,AM,14798
516,2017,AP,1465
517,2017,BA,8249
518,2017,CE,2555
519,2017,DF,410
520,2017,ES,234
521,2017,GO,8705
522,2017,MA,28639
523,2017,MG,11473
524,2017,MS,6391
525,2017,MT,36344
526,2017,PA,59771
527,2017,PB,294
528,2017,PE,522
529,2017,PI,9478
530,2017,PR,4463
531,2017,RJ,1397
532,2017,RN,299
533,2017,RO,10961
534,2017,RR,1101
535,2017,RS,2575
536,2017,SC,2354
537,2017,SE,75
538,2017,SP,5406
539,2017,TO,21129
